Local Time (Timezone : GMT+8h),Chilled Water Rate (L/sec),Cooling Water Temperature (C),Building Load (RT),Chiller Energy Consumption (kWh),Outside Temperature (F),Dew Point (F),Humidity (%),Wind Speed (mph),Pressure (in)
2019-10-01 00:00:00,84.0,30.3,446.0,98.7,82,77,84,3,29.8
2019-10-01 00:30:00,79.9,30.0,418.4,98.1,81,77,89,2,29.8
2019-10-01 01:00:00,80.1,30.0,421.4,98.0,81,77,89,2,29.8
2019-10-01 01:30:00,79.4,29.8,414.1,96.9,81,77,89,2,29.77
2019-10-01 02:00:00,78.7,29.6,405.8,93.1,81,77,89,2,29.77
2019-10-01 02:30:00,78.8,29.6,407.1,93.6,81,77,89,2,29.77
2019-10-01 03:00:00,79.8,29.5,406.2,93.8,81,77,89,2,29.77
2019-10-01 03:30:00,82.9,29.7,420.7,96.0,81,75,84,2,29.77
2019-10-01 04:00:00,82.3,29.6,412.2,95.0,81,75,84,2,29.77
2019-10-01 04:30:00,82.0,29.6,409.7,93.9,81,75,84,3,29.77
2019-10-01 05:00:00,81.6,29.5,409.8,93.6,81,75,84,2,29.77
2019-10-01 05:30:00,81.8,29.6,424.9,95.8,81,75,84,3,29.77
2019-10-01 06:00:00,80.7,29.5,420.4,93.7,81,75,84,3,29.77
2019-10-01 06:30:00,80.6,29.4,418.7,93.7,79,75,89,2,29.8
2019-10-01 07:00:00,84.7,29.7,455.9,97.6,81,75,84,2,29.8
2019-10-01 07:30:00,106.4,31.6,615.1,130.4,82,75,79,1,29.8
2019-10-01 08:00:00,106.7,31.6,590.0,125.3,84,75,74,2,29.8
2019-10-01 08:30:00,103.1,31.5,595.4,124.6,86,73,66,2,29.8
2019-10-01 09:00:00,101.7,31.3,584.4,120.7,88,75,66,5,29.83
2019-10-01 09:30:00,104.0,31.9,605.3,127.9,86,75,70,3,29.8
2019-10-01 10:00:00,106.8,32.2,616.1,133.1,88,75,66,3,29.83
2019-10-01 10:30:00,107.6,32.5,622.3,136.2,88,75,66,5,29.8
2019-10-01 11:00:00,108.5,32.9,636.7,140.0,90,73,59,5,29.8
2019-10-01 11:30:00,109.3,33.0,638.4,142.1,90,73,59,6,29.8
2019-10-01 12:00:00,111.5,30.7,671.5,179.3,90,72,55,6,29.77
2019-10-01 12:30:00,96.1,30.3,579.3,141.0,90,73,59,8,29.77
2019-10-01 13:00:00,92.2,32.9,632.1,137.7,90,73,59,7,29.74
2019-10-01 13:30:00,105.4,31.0,653.0,172.5,88,75,66,9,29.74
2019-10-01 14:00:00,110.0,30.5,638.1,171.6,86,72,62,12,29.74
2019-10-01 14:30:00,111.9,31.0,665.1,180.2,82,72,70,8,29.71
2019-10-01 15:00:00,112.4,31.2,674.0,185.4,82,72,70,6,29.71
2019-10-01 15:30:00,112.0,30.8,656.7,178.1,84,72,66,5,29.68
2019-10-01 16:00:00,104.3,30.3,599.8,153.0,84,75,74,8,29.71
2019-10-01 16:30:00,92.4,31.8,626.4,151.0,82,73,74,14,29.71
2019-10-01 17:00:00,107.0,30.2,628.2,163.0,82,72,70,10,29.68
2019-10-01 17:30:00,87.8,32.2,607.5,128.2,82,73,74,3,29.71
2019-10-01 18:00:00,102.5,33.0,626.3,140.0,82,75,79,2,29.71
2019-10-01 18:30:00,104.8,30.1,640.9,176.9,82,75,79,2,29.71
2019-10-01 19:00:00,83.6,31.8,566.3,120.9,82,77,84,1,29.74
2019-10-01 19:30:00,90.9,31.6,497.3,112.0,82,75,79,2,29.74
2019-10-01 20:00:00,90.0,31.2,485.7,112.5,82,77,84,1,29.74
2019-10-01 20:30:00,89.5,31.2,486.9,114.7,82,77,84,1,29.74
2019-10-01 21:00:00,88.4,31.0,478.4,112.4,82,77,84,5,29.74
2019-10-01 21:30:00,87.2,30.8,467.0,109.9,82,77,84,2,29.77
2019-10-01 22:00:00,86.1,30.7,464.6,108.1,82,77,84,1,29.77
2019-10-01 22:30:00,88.5,30.9,476.2,112.0,81,77,89,2,29.77
2019-10-01 23:00:00,88.4,31.0,474.3,112.0,81,77,89,3,29.77
2019-10-01 23:30:00,87.6,30.9,464.9,110.4,82,77,84,3,29.83
2019-10-02 00:00:00,84.6,30.6,449.0,106.8,82,77,84,3,29.8
2019-10-02 00:30:00,79.1,30.1,413.6,98.0,81,77,89,2,29.8
2019-10-02 01:00:00,79.1,30.0,409.9,98.6,81,77,89,2,29.8
2019-10-02 04:30:00,81.0,29.5,404.3,93.0,81,75,84,3,29.77
2019-10-02 05:00:00,81.0,29.5,402.9,93.2,81,75,84,2,29.77
2019-10-02 05:30:00,81.0,29.6,418.7,96.4,81,75,84,3,29.77
2019-10-02 06:00:00,79.0,29.8,431.5,100.6,81,75,84,3,29.77
2019-10-02 06:30:00,78.0,29.8,427.7,101.4,79,75,89,2,29.8
2019-10-02 07:00:00,83.0,30.2,473.2,105.5,81,75,84,2,29.8
2019-10-02 07:30:00,103.4,31.9,605.4,129.5,82,75,79,1,29.8
2019-10-02 08:00:00,105.1,31.7,585.4,122.2,84,75,74,2,29.8
2019-10-02 08:30:00,102.5,31.7,596.2,124.5,86,73,66,2,29.8
2019-10-02 09:00:00,101.1,31.9,582.7,124.0,88,75,66,5,29.83
2019-10-02 09:30:00,104.0,32.3,600.2,128.9,86,75,70,3,29.8
2019-10-02 10:00:00,107.3,32.9,606.1,132.5,88,75,66,3,29.83
2019-10-02 10:30:00,109.2,33.6,632.9,141.1,88,75,66,5,29.8
2019-10-02 11:00:00,106.2,32.8,627.7,158.3,90,73,59,5,29.8
2019-10-02 11:30:00,109.7,30.5,659.1,176.0,90,73,59,6,29.8
2019-10-02 12:00:00,109.4,30.4,641.3,172.8,90,72,55,6,29.77
2019-10-02 12:30:00,109.2,30.8,640.9,175.9,90,73,59,8,29.77
2019-10-02 13:00:00,109.8,30.8,650.8,178.2,90,73,59,7,29.74
2019-10-02 13:30:00,109.5,30.6,647.5,175.7,88,75,66,9,29.74
2019-10-02 14:00:00,90.6,30.8,583.6,130.0,86,72,62,12,29.74
2019-10-02 14:30:00,109.6,30.5,679.8,179.0,82,72,70,8,29.71
2019-10-02 15:00:00,108.3,30.0,631.9,167.2,82,72,70,6,29.71
2019-10-02 15:30:00,94.1,31.0,624.8,146.6,84,72,66,5,29.68
2019-10-02 16:00:00,107.3,29.6,681.4,177.5,84,75,74,8,29.71
2019-10-02 16:30:00,84.4,31.0,593.1,130.2,82,73,74,14,29.71
2019-10-02 17:00:00,105.7,29.6,680.7,180.2,82,72,70,10,29.68
2019-10-02 17:30:00,83.9,30.2,576.3,119.0,82,73,74,3,29.71
2019-10-02 18:00:00,95.6,30.6,575.2,119.5,82,75,79,2,29.71
2019-10-02 18:30:00,94.9,30.3,537.5,107.0,82,75,79,2,29.71
2019-10-02 19:00:00,93.2,30.0,516.7,102.1,82,77,84,1,29.74
2019-10-02 19:30:00,81.2,29.1,447.7,89.9,82,75,79,2,29.74
2019-10-02 20:00:00,78.2,28.5,427.5,85.5,82,77,84,1,29.74
2019-10-02 20:30:00,77.1,28.3,412.6,85.3,82,77,84,1,29.74
2019-10-02 21:00:00,75.0,28.2,381.4,85.4,82,77,84,5,29.74
2019-10-02 21:30:00,75.0,28.3,375.6,83.2,82,77,84,2,29.77
2019-10-02 22:00:00,76.5,28.1,386.1,83.6,82,77,84,1,29.77
2019-10-02 22:30:00,79.7,28.3,397.0,86.0,81,77,89,2,29.77
2019-10-02 23:00:00,80.3,28.4,395.5,86.0,81,77,89,3,29.77
2019-10-02 23:30:00,80.4,28.5,397.5,86.7,82,77,84,3,29.83
2019-10-03 00:00:00,77.5,28.4,386.8,86.3,82,77,84,3,29.8
2019-10-03 00:30:00,72.9,28.0,357.6,79.6,81,77,89,2,29.8
2019-10-03 01:00:00,72.7,28.0,355.3,79.7,81,77,89,2,29.8
2019-10-03 01:30:00,72.5,28.0,354.4,79.5,81,77,89,2,29.77
2019-10-03 02:00:00,72.4,28.0,354.8,79.4,81,77,89,2,29.77
2019-10-03 02:30:00,72.7,28.1,355.9,79.6,81,77,89,2,29.77
2019-10-03 03:00:00,74.5,28.2,361.6,81.2,81,77,89,2,29.77
2019-10-03 03:30:00,77.5,28.6,378.7,85.9,81,75,84,2,29.77
2019-10-03 04:00:00,77.0,28.4,371.2,84.3,81,75,84,2,29.77
2019-10-03 04:30:00,77.3,28.5,371.0,84.3,81,75,84,3,29.77
2019-10-03 05:00:00,77.7,28.5,370.6,84.1,81,75,84,2,29.77
2019-10-03 05:30:00,77.8,28.6,382.9,85.9,81,75,84,3,29.77
2019-10-03 06:00:00,76.7,28.8,390.3,88.3,81,75,84,3,29.77
2019-10-03 06:30:00,75.6,28.6,383.0,86.4,79,75,89,2,29.8
2019-10-03 07:00:00,79.6,28.6,409.4,87.0,81,75,84,2,29.8
2019-10-03 07:30:00,99.0,29.8,563.6,113.3,82,75,79,1,29.8
2019-10-03 08:00:00,94.7,28.8,503.3,95.6,84,75,74,2,29.8
2019-10-03 08:30:00,92.7,29.2,517.3,99.5,86,73,66,2,29.8
2019-10-03 09:00:00,93.2,29.7,512.4,99.4,88,75,66,5,29.83
2019-10-03 09:30:00,99.2,30.3,555.0,110.6,86,75,70,3,29.8
2019-10-03 10:00:00,104.4,31.3,570.9,117.4,88,75,66,3,29.83
